sents,labels
gl hf,S O
report balanar ty,S C O
those razes,P O
hahaha,O
ROFL,S
sf cry,C O
its a wipeout,P O O
thx team [SEPA] all the way look,O O SEPA P O O O
internal problem in your team [SEPA] lol,O O O P O SEPA O
Gg,S
we are,P O
Ggwp,S
u appeared before me [SEPA] what should i do [SEPA] heang,P O O P SEPA P O P O SEPA O
ggwp,S
gg,S
ggwp,S
bb,C
haha,O
no prolem,O O
ez,S
alch did you just give out your address and promise free blow jobs before the game or something,C O P O O O P O O O O T O O O O O P
the dream,O O
WAS WORTH,O O
comin,O
fuzzy fucking wuzzy,O T O
last pick meepo [SEPA] ne zayehal,O O C SEPA O O
pahha,O
ogre ags offlane [SEPA] slardar pt ez lane [SEPA] 26 minute [SEPA] fucking sniper,C O S SEPA C O S S SEPA O O SEPA T C
wew,O
ez,S
GG,S
THAT SWAP [SEPA] HAHAHAHAHA,P O SEPA O
he got games tom,P O O O
XD,O
hahahaha 2 minutes and i could make you are mom cum,O O O O P O O P O D T
wrwrw,O
why,O
he is blaming now i think,P O O O P O
soooo soft,O O
zzz,O
:),O
G [SEPA] G,O SEPA O
Pls dont cry,O O O
Nc,O
Btw I had your TH SB premute [SEPA] Should of said something,O P O P O C O SEPA O O O P
HOW DO YOU GUYS [SEPA] NOT END IT BY NOW,O O P P SEPA O O P O O
Didnt even know you were there I guess [SEPA] Because he had ult,O O O P O P P O SEPA O P O S
you are lose this game [SEPA] trust me,P O O P O SEPA O P
fickijg,O
dual mid 2 strong,O S O O
motehr fucekr noob bm [SEPA] so ez,O O T C SEPA O S
yeah i heard,O P O
fuck you,T P
gege,O
pause for what,O O P
first hit bash [SEPA] owned [SEPA] why u mad jugg,O O O SEPA O SEPA O P O C
maybe 25mins in,O O O
report tiny thanks,S C O
QQ,O
stfu,T
fucking moron,T T
hard yyy,O O
gg,S
that silent,P O
credits by lion,O O C
yo void,O C
ROFL,S
nice game,O O
GG [SEPA] ez4 es,S SEPA O C
commed me ty,O P O
rekt,O
ur sister is dead,P P O T
lol,O
ez,S
COMMNED,O
haha,O
gg this noob [SEPA] win this easy :),S P T SEPA O P O O
wait let me get a line,O O P O O O
you pause your mom,P O P D
ur just too high skilled,P O O O O
ok timbersaw,O O
octine manta,O D
wtf [SEPA] this pl,T SEPA P C
we go [SEPA] wait [SEPA] at [SEPA] wtf,P S SEPA O SEPA O SEPA T
creeps have more dmg than ur heroes,S O O O O P O
wp,S
i am a beast bro,P C O T P
lmao,O
this inoker was 7 when i reconnect [SEPA] lol [SEPA] and now flamming ppl [SEPA] sad story [SEPA] i was 5 [SEPA] this invo was 7 [SEPA] wutever duuude,P O O O O P O SEPA O SEPA O O O O SEPA O O SEPA P O O SEPA P C O O SEPA O O
yes,O
we cant wait [SEPA] how mnay times should i pause,P O O SEPA O O O O P O
LOL,O
woa [SEPA] woah [SEPA] magnus [SEPA] mvp,O SEPA O SEPA C SEPA O
haha,O
highest mmr in the game [SEPA] got rekt,O D O O O SEPA O O
suck my dick linch [SEPA] :3,T P T O SEPA O
can i have an aghs alch,O P O O D C
ward,S
u stupid,P T
commendable motion,O O
wk always no mana [SEPA] Lol,O O O S SEPA O
your the dumbest person by far,P O O O O O
[SEPA] huh sniper,SEPA O C
avicii best song,O O O
par lar,O O
xD [SEPA] witing all thistime for me,O SEPA O P O O P
u cant,P O
gg wp,S S
Kek [SEPA] this pause,O SEPA P O
relax,O
haha,O
Tusk ur friend,C P O
its not sf mid [SEPA] supprt sf [SEPA] dont pick qop for mid [SEPA] and lina [SEPA] da ya otvechay [SEPA] ne pikaite qop [SEPA] rofl,P O C S SEPA S C SEPA O O C O S SEPA O C SEPA O O O SEPA O O C SEPA S
gj lycan,S C
bounty bro,O P
looooool,O
l2p,O
i was rooting for you guys too [SEPA] then you killed me [SEPA] not cool,P O O O P P O SEPA O P O P SEPA O O
kogut kogut,O O
enjoy the mmr [SEPA] i dont slardar,O O D SEPA P O C
dieback [SEPA] gg lich,O SEPA S C
end [SEPA] gg,O SEPA S
yeah but low connecting,O O O O
fuck you timbersaw,T P O
ROFL,S
so [SEPA] still dead,O SEPA O T
let se [SEPA] see,O O SEPA O
gg guys [SEPA] go end,S P SEPA S O
intro boy,O O
say something [SEPA] pls,O P SEPA O
okey,O
oh get fucke,O O T
mahirap na,O O
gg,S
Haha,O
the truth is good,O O O O
haha,O
zzzzzzzzz,O
youre sad,O O
ahhahaa,O
i can buy a lot of couriers,P O O O O O D
please report dazzle for feeding,O S C O S
well said [SEPA] lina lc is back,O O SEPA C D O S
cm agh,C D
lol,O
bkb is very needed on BH,D O O O O C
ty,O
ggf,O
reprot pudg and torll plz,O C O O O
XD,O
if you [SEPA] pushed your advantage,O P SEPA S P O
lol,O
go [SEPA] throne [SEPA] We wont def [SEPA] throne,S SEPA S SEPA P O O SEPA S
report blood,S S
GG,S
ez,S
like it [SEPA] damn storm,O P SEPA O C
izi bithces [SEPA] bitches,O O SEPA T
gg [SEPA] gg wp thx void,S SEPA S S O C
CMD ME TEAM :D,O P O O
just end fast,O O O
sad happen i have a big dick,O O P O O O T
die cunt,O T
gg,S
fucking acc buyer [SEPA] noob,T O O SEPA T
PT,O
hes OL even before 4 min ago,O O O O O O O
what he do,P P O
gg,S
GG,S
my team all farmer [SEPA] gg,P O P O SEPA S
4 hits silencer :D [SEPA] talk about fed,O O C O SEPA O O O
88,O
WD RAMPAGE,C O
idiot,T
Still wanna win radiant,O O O O
SOS UN ASCO PUDGE TE REPORTO [SEPA] NO PODES JUGAR ASI EN RANKED [SEPA] :V,O O O C O S SEPA O O O O O O SEPA O
finally,O
rec,O
hi mom im playing against a 5k mmr,O D O O O O O D
:D,O
gg,S
gg report my team,S S P O
FUCKTARD NOW IN GAME,T O O O
f9 [SEPA] f9,O SEPA O
[SEPA] mjst be,SEPA O O
aiyo think rax 1 lane can comeback,O O S O S O O
really [SEPA] you guys didnt wait us,O SEPA P P O O P
pause,O
noob [SEPA],T SEPA
fuck tp i have arcana pa 2015 :D [SEPA] izi katka,T S P O O C O O SEPA O O
dont be mad ns,O O O O
sureness,O
but who was blame,O P O O
ok guys [SEPA] prepare to die,O P SEPA O O O
go back to 3k where u belong,S S O O P P O
oh ffs,O T
is real,O O
going 11 wasnt enough fo rhim now he is buying chickens [SEPA] classic cyka,O O O P O O O P O O S SEPA O O
gg,S
omi said this carry,O O P S
ez joob,S O
ggwp,S
<3,O
poser,O
he call me in phone [SEPA] he is comming,P O P O O SEPA P O O
12 year old gangsta,O O O T
it is 84 min [SEPA] legion needs to steal dmg not farm lol,P O O O SEPA C O O O O O S O
wp od,S C
noob fucks,T T
f9,O
hi all good luck and have fun,O P O O O O O
gg,S
i know,P O
hehehe [SEPA] you are,O SEPA P O
im sorry man [SEPA] for before,O O P SEPA O O
LETAS ALL REPORT RUBICK FOR TEH LULZ,O P S C O O O
LOOL,O
fuck lag,T O
we cant wait,P O O
gg ez,S S
wow [SEPA] ohmy,O SEPA O
lelele,O
dance in that shit,O O P T
gg [SEPA] ez,S SEPA S
p mid,O S
dm [SEPA] carry an,O SEPA S O
haha,O
let us see,O P O
end [SEPA] haha,O SEPA O
fuck you,T P
ya eh,O O
alright my friend rubikc,O P O C
cry babies,O O
cause you are fucking moron [SEPA] Thats why,O P O T T SEPA P O
lmfao,T
add,O
gg,S
cant say it wasnt [SEPA] OMG,O O P O SEPA O
lel,O
nice base,O S
me plz,P O
did silencer bb,O C C
wahahaha,O
they all lanning in my basement [SEPA] lol just naked n shit,P P O O P O SEPA O O T O T
lol [SEPA] haha [SEPA] gg sf,O SEPA O SEPA S C
haha,O
:D,O
ahah [SEPA] 4 1 players,O SEPA O O O
report wind,S C
he was the only one who went,P O O O P P O
u faggots didnt pause fo rme,P T O O O O
ggwp,S
ILL : throw,O O S
focus me more,O P O
ure quite bad,O O O
easiest puck support match ive ever had,O C S O O O O
haha,O
So close ursa,O O C
sf too high damage,C O O S
hah,O
can we wait guys for fair game,O P O P O O O
lol [SEPA] noob am [SEPA] :D [SEPA] die cm,O SEPA T C SEPA O SEPA O C
imd ead [SEPA] im alive,O O SEPA O O
Muting team,O O
noob [SEPA],T SEPA
oh,O
gg wp,S S
sk reported,C O
michael phelps,O O
all g [SEPA] says he is offline [SEPA] wait a few min,P O SEPA O P O O SEPA O O P O
combo wombo,O O
y u mad [SEPA] ty,O P O SEPA O
aaa [SEPA] aaa [SEPA] aaa [SEPA] aaa [SEPA] aaa [SEPA] aa [SEPA] aa,C SEPA C SEPA C SEPA C SEPA C SEPA C SEPA C
LOL,O
hahahaa,O
love randmon ass pudge suicide [SEPA] skill,O O T C O SEPA S
report Lesh,S C
tema daynov [SEPA] krome wispa,O O SEPA O O
hahaha,O
dont you love creeps,O P O S
sad for malaysia,O O O
FKC YOU,O P
330 hook :) [SEPA] not bad [SEPA] :),O T O SEPA O O SEPA O
AHhaah,O
2 mid,O S
gg,S
ALL SLOW [SEPA] :@,P O SEPA O
lycan got a blink lmao,C O O D O
ez mid ez life,S S S O
lol,O
there is my bro,P O P P
u called gg all of u [SEPA] and yet u lose [SEPA] l2p please,P O S P O P SEPA O O P O SEPA O O
wait,O
deine mama,O O
haha,O
blame teammate,O O
29 mins dag,O O O
hes dont leave,O O O
yeah but they goin yolo with no BKB,O O P O O O O D
lol,O
lol [SEPA] almost die,O SEPA O O
GG,S
free to report for attitude :3,O O S O O O
am shit [SEPA] wodota,C T SEPA O
what a game,P O O
shut up youre dead,O O O T
look at score,O O O
party players,O O
PINOY,O
report void [SEPA] gg,S C SEPA S
bobong mid [SEPA] tang ina,O S SEPA T O
4 k gold :),O O O O
thx for doing it before,O O O P O
let us end fast [SEPA] Dont waste time [SEPA] no hope,O P O O SEPA O O O SEPA O O
could u leave now,O P O O
I love how you focus me every time [SEPA] sure I die but 5 of you die :DD,P O O P O P O O SEPA O P O O O O P O O
no barbaric [SEPA] sry,O O SEPA O
gg,S
ONLY PHASE BOOT,O D O
ENOPJOUAY,O
lol,O
hehe,O
lag [SEPA] ty for unpause [SEPA] i hope you need one later :),O SEPA O O O SEPA P O P O P O O
wtf moment,T O
win only talk cock pls,O O O T O
it is solo queue [SEPA] man,P O S O SEPA P
lol [SEPA] suck [SEPA] tusks [SEPA] dick,O SEPA T SEPA O SEPA T
sure pudge,O C
wait clinkz [SEPA] shit [SEPA] this blue [SEPA] wait doom [SEPA] p ls report clinkz [SEPA] waoit doom [SEPA] zzzz [SEPA] pls report my team,O C SEPA T SEPA P O SEPA O C SEPA O O S C SEPA O C SEPA O SEPA O S P O
what a fucking faggot,P O T T
END CTM,O O
12 deaths after being fed 10 x [SEPA] seriously,O C O O O O O SEPA O
he is just doing a recon mission [SEPA] if you were half the team we are [SEPA] you would have 8 kills [SEPA] ohkay then,P O O O O O O SEPA O P O O O O P O SEPA P O O O O SEPA O O
1,O
kkk,T
your just bad,P O O
predic fail [SEPA] viper [SEPA] lol,O O SEPA C SEPA O
no courier gg,O D S
Gege,O
commends pls,O O
end [SEPA] im tired,O SEPA O O
wp,S
ezy,S
lmao,O
Straight mid guys,O S P
nope [SEPA] u will win [SEPA] keep pushing,O SEPA P O O SEPA O O
ff [SEPA] pls [SEPA] best supp ever [SEPA] no qward [SEPA] luna free farm,S SEPA O SEPA O O O SEPA O O SEPA C O S
win first [SEPA] there was no alc this game [SEPA] what you talking about cunt,O O SEPA P O O C P O SEPA P P O O T
no one kill husker,O P O C
ok,O
recomiendane,O
lolk,O
hAHA A,O O
ty,O
qopa dura [SEPA] deso sobrala,O O SEPA D O
gg,S
7 carry is flaming and blaming others :- D wtf game :- D,O S O O O O P O O T O O O
XD [SEPA] XD,O SEPA O
yooohoo,O
tell him [SEPA] to stop,O P SEPA O O
o [SEPA] shit [SEPA] they carried u [SEPA] but u dont unerstand,O SEPA T SEPA P O P SEPA O P O O
Hahahahahahah [SEPA] HAHAHAHAHA [SEPA] HAHAHAHAHAHAHAHA,O SEPA O SEPA O
ALEG [SEPA] ALEG [SEPA] AELG [SEPA] NA RIKI,O SEPA O SEPA O SEPA O C
gg,S
lol,O
gg,S
thanks,O
Wtf this team [SEPA] wtf this lc [SEPA] WHAT THE ACTUAL FUCK,T P O SEPA T P D SEPA P O O T
gg,S
:O,O
[SEPA] Pro jukes,SEPA O O
wodota funny,O O
i think normal match,P O O O
tbh i was leader es lol,O P O O C O
should have roshd,O O O
singsing on our team [SEPA] wtf,O O P O SEPA T
sec,O
im just to good [SEPA] in your level,O O O O SEPA O P O
hey venge [SEPA] you mad,O C SEPA P O
ok bro,O P
and pause while doing it,O O O O P
wtf void,T C
okay 1 min,O O O
pls dont waste time,O O O O
wsip come back baby [SEPA] HAHAHA [SEPA] wisp i wake you up 2moro,O O S O SEPA O SEPA C P O P O O
mad,O
haha [SEPA] y u go just let me dead,O SEPA O P S O O P T
bg,O
hahahahhaha,O
its there potato comps,P P O O
jogo muito n [SEPA] s desisti dessa partida,O O O SEPA O O O O
haha,O
lol u were dis XD,O P O O O
no we dont,O P O
bobo ez,O S
wow 2300,O O
lol,O
ay lmao,O O
maphack,D
lusting <3,T O
commend me pls,O P O
sf with qb [SEPA] fuck my life,C O O SEPA T P O
u didnt see that much id say,P O O P O O O
FU,T
he has mouse problem,P O O O
izi bot,O S
GOOD BYE 4K GAMING [SEPA] HAHA,O O O O SEPA O
u trilaned first,P S O
because u miracle we gg,O P O P S
BURN IN HELL,O O O
wait,O
LET S REPORT VENOM,O O S D
LOL [SEPA] excuses,O SEPA O
wak kok lawannya cupu bgt ya [SEPA] sorry wrong chat,O O O O O O SEPA O O O
best sf ever,O C O
ez [SEPA] against this am [SEPA] ofc,S SEPA O P C SEPA O
pa guys,C P
and only 96 duel dmg,O O O D O
rofl,S
ez friend,S O
well played,O O
done [SEPA] commend me [SEPA] reported bs,O SEPA O P SEPA O S
a bad luck nightr,O O O C
tyty,O
really ez game [SEPA] won even with that slark [SEPA] cant believe,O S O SEPA O O O P C SEPA O O
HAHA,O
ez katushka,S O
1st time [SEPA] grats,O O SEPA O
haha,O
wasnt i feeding early game,O P S O O
dfsgahzwreas,O
fuck you invoker,T P C
guys hes coming back can we just wait please,P O O S O P O O O
hahaha [SEPA] account then [SEPA] 1k mmr [SEPA] fuck your self dude [SEPA] HAHA [SEPA],O SEPA O O SEPA O D SEPA T P O P SEPA O SEPA
hahhaha,O
this guys,P P
fuck u,T P
sorr,O
vodka,O
0,O
do not def xD [SEPA] haahahah [SEPA] lame team xD [SEPA] XD [SEPA] patehtic,O O O O SEPA O SEPA O O O SEPA O SEPA O
should be kotl,O O C
hahaha,O
account buyer,O O
commed me,O P
commend that man,O P P
LMAO,O
commend,O
LOL,O
nice stacks gyro,O O C
lets wait when he respawns,O O O P O
kontol [SEPA] kontol,O SEPA O
wai [SEPA] i cant move [SEPA] Help [SEPA] i cant move my hero [SEPA] help me,O SEPA P O O SEPA S SEPA P O O P O SEPA S P
jugger trying [SEPA] U shouldve seen mid [SEPA] voker got so babysat,C O SEPA P O O S SEPA C O O O
snickers,O
my team is kinda wrecking itself,P O O O O P
we all 5 team matchmaking,P P O O O
afk [SEPA] tusk,S SEPA C
#ERROR!,O
report well deserved,S O O
wow,O
lol noob refresher on sf,O T D O C
we won,P O
Davai2 [SEPA] bratan,O SEPA O
i dropped all my items [SEPA] accidentally [SEPA] help,P O P P O SEPA O SEPA S
lol you have dualed me twice in WR,O P O O P O O C
bb,C
i lov your shackels,P O P O
lol,O
steam profile online [SEPA] might have crashed [SEPA] 2 mins please [SEPA] then we will go,O O O SEPA O O O SEPA O O O SEPA O P O S
D :,O O
i will report him in my group [SEPA] in vk com [SEPA] 4k ppl,P O S P O P O SEPA O O O SEPA O O
what a game,P O O
report PA for PA,S C O C
GG,S
gg close game,S O O
GG [SEPA] GGWP [SEPA] ALMOST 1 hour [SEPA] HAHAHAHAHAHA,S SEPA S SEPA O O O SEPA O
rec [SEPA] there is bug [SEPA] ty radiant [SEPA] ty,O SEPA P O O SEPA O O SEPA O
great game [SEPA] ill be watchin replays,O O SEPA O O O O
stfu,T
cant expect much from am first pick man,O O O O C O O P
yeah i did,O P O
scared,O
spectre is really looking for a smack,C O O O O O T
re prt [SEPA] report [SEPA] mid,O O SEPA S SEPA S
ggwp,S
ggwp,S
lol,O
lmao i tried,O P O
gj [SEPA] rubick,S SEPA C
dont know how to carry a tp :S,O O O O S O S O
AW [SEPA] NOBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,O SEPA O
why not,O O
its the year u dumb ape,P O O P T O
gg,S
topgame [SEPA] gg,O SEPA S
lol that am pick sure did good tho,O P C O O O O O
noob mid,T S
AND NOT THIS SF [SEPA] relax lane bot for doom [SEPA] my shaker carry [SEPA] always farm on jungle [SEPA] and no help for kill this doom [SEPA] but its europa,O O P C SEPA O S S O C SEPA P C S SEPA O S O S SEPA O O S O O P C SEPA O P O
omg [SEPA] :O,O SEPA O
SWAN,O
:D,O
my wr [SEPA] went blink instead of midas [SEPA] nice blink wr,P C SEPA O D O O D SEPA O D C
pudge lol,C O
got doom [SEPA] dw,O C SEPA O
that mole,P O
ox [SEPA] ez game,O SEPA S O
he said I lose bot cuz you take my farm,P O P O S P P S P S
hahaha [SEPA] hard looser,O SEPA O T
im the best,O O O
yap [SEPA] ever,O SEPA O
dang,O
bravo form e [SEPA] report me [SEPA] :d,O O O SEPA S P SEPA O
Hahaha,O
smart [SEPA] :),O SEPA O
end [SEPA] 5 dead,O SEPA O T
rly [SEPA] focus lich,O SEPA O C
talk,O
earlier,O
sk is a kid,C O O O
gg na yan,S O O
anyway [SEPA] we got slark [SEPA] with 0 frags,O SEPA P O C SEPA O O O
gg,S
I WAITING FOR U,P O O P
nice buyback,O O
pudge [SEPA] hahg,C SEPA O
okay thats my reports done for the day gg,O P P S O O O O S
doom [SEPA] you really [SEPA] ::@ H H H,C SEPA P O SEPA O O O O
fuck,T
gg,S
LOSER,O
gl hf,S O
I already did,P O O
ye [SEPA] i see,P SEPA P O
SAD,O
PFF,O
LOX,O
dont leh [SEPA] what the,O O SEPA P O
see free mmr,O O D
mi win sin nad,O O O O
haha [SEPA] haha,O SEPA O
dont fuck riki,O T C
REALLY :),O O
top was too ez,S O O S
say void,O C
why doom,O C
keep up the good wrok :),O O O O O O
Report Axe [SEPA] Ty,S C SEPA O
uncle Benn [SEPA] die again,O O SEPA O O
jugg commend me help u alot :D,C O P S P O O
SRY,O
wow [SEPA] nice swap,O SEPA O O
he did it out of love,P O P O O O
lol [SEPA] Rage quit,O SEPA D O
so greedy,O O
nice timing,O O
bara [SEPA] stop [SEPA] nice,C SEPA O SEPA O
mga ulol,O O
zl,O
haha,O
are they peruvian,O P O
greeting to my mom lina,O O P D C
report pls [SEPA] intencional feed,S O SEPA O D
#ERROR!,O
lmfao,T
why you run [SEPA] spec,O P O SEPA O
gg noob,S T
ez,S
dang,O
nice 100 hp gank lol,O O O S O
week,O
110 CANCER,O S
easiest 25,O O
good duel,O D
rough decline from here,O O O O
OR I DIE [SEPA] TO CANCER,O P O SEPA O S
meepo throws [SEPA] Gg,C S SEPA S
i don care commend actually [SEPA] just wanna teach this jugg lesson,P O S O O SEPA O O O P C O
jugg said he will feed [SEPA] jugg said he will feed,C O P O D SEPA C O P O D
w8 dude,O P
NO WARD [SEPA] we happy no ward,O S SEPA P O O S
eu adoro bater em rubick q quer pagar de q joga muito kkkkk,O O O O C O O O O O O O O
spectre noob,C T
pro abbadon,O C
buyback is ready,O O O
ELDER DC CAUSE HE NOOB,C O O P T
dc,O
defend base la,O S O
nice hook,O T
ez mid ez game,S S S O
pfff [SEPA] dota 5 vs 5,O SEPA D O O O
A Munic is gonna have his e peen cut by 25 mrr [SEPA] he is very frustrated,O O O O O P O O O O O O SEPA P O O O
NO [SEPA] AS I WAS COMMING OUT OF EULS [SEPA] BEFORE BLINK WHICH HAS NO CAST TIME WENT OFF [SEPA] U HOOKED ME,O SEPA P P O O O O D SEPA O D P O O O O O S SEPA P O P
intentional feeder,O S
no,O
let it out dont be cruel lol [SEPA] w8 [SEPA],O P O O O O O SEPA O SEPA
flash stacks gg,S O S
XD,O
gg,S
ty,O
can you [SEPA] nice one,O P SEPA O P
pls report SF [SEPA] he deserves low priority,O S C SEPA P O O O
thsi qop plays with u [SEPA] so ez,O C O O P SEPA O S
there no space for u in dota 2 am [SEPA] better quit dota and wash your clothes,P O O O P O D O C SEPA O O D O O P O
SAD GAME [SEPA] THESE GUYS [SEPA] BLAME ME,O O SEPA P P SEPA O P
wp slark [SEPA] you rape pudge really good,S C SEPA P T C O O
yes,O
Its gg,P S
Ez,S
this necro [SEPA] wew [SEPA] i got good items [SEPA] what the fuck,P C SEPA O SEPA P O O O SEPA P O T
i was afk,P O S
i want win for my little sister who suffers from cancer,P O O O P O P P O O S
big combo [SEPA] man,O O SEPA P
hello,O
the only hero [SEPA] where you aim w to get insta kills haha,O O O SEPA P P O O O O O O O
wow pinoy [SEPA] um nah [SEPA] u werent [SEPA] but wtv bruhh [SEPA] GG :D,O O SEPA O O SEPA P O SEPA O O O SEPA S O
haha [SEPA] nice,O SEPA O
NO,O
wasting my mana,O P S
wards,S
wtf,T
gg,S
that it was,P P O
u,P
one shit techies then gg,P T C O S
riki = win :D,C O O O
ezMMR,S
yeh [SEPA] bb,O SEPA C
ok,O
Shit short mana,T O S
hola doom :3,O C O
mistakes made,O O
TINY,C
asian size,O O
gege,O
lol [SEPA] it is ok,O SEPA P O O
ez for this alche [SEPA] 45 min farming [SEPA] commend him,S O P C SEPA O O S SEPA O P
easiest jug [SEPA] i have ever vs [SEPA] ez mid too [SEPA] ROFL,O C SEPA P O O O SEPA S S O SEPA S
like [SEPA] flashy plays will not give wr farm [SEPA] nice,O SEPA S O O O O C S SEPA O
wp,S
LOLz,O
do not please,O O O
GG [SEPA] lolz [SEPA] free mmr,S SEPA O SEPA O D
zeus reported,C O
whhy,O
ez MID [SEPA] ezzzzzz,S S SEPA S
LOOL [SEPA] LOOOOOOOOOOOOOOOOOL,O SEPA O
ALCHEEEEE [SEPA] WATASHIWAA,C SEPA O
HIGH GROUND BOYS,O O O
report invoker,S C
its a throw my nigga [SEPA] HAHAHAHAHHA,P O S P T SEPA O
die,O
gg,S
and ruining games,O O O
:D,O
our alch is something :),P C O P O
just wait,O O
GG,S
jajajaja how r u [SEPA] i am under the water [SEPA] pls help,O O O P SEPA P C O O O SEPA O S
NOOOO LOL,O O
Hahah,O
ok,O
#ERROR!,O
gg wp [SEPA] gg wp,S S SEPA S S
commend me,O P
HEHE,O
Haha [SEPA] T T,O SEPA O O
gg wp,S S
galing,O
where you at,P P O
LUCKER,O
sit out bounty,O O O
lmao [SEPA] LMAO [SEPA] this guys hilarious [SEPA] stuns and doesnt trigger,O SEPA O SEPA P P O SEPA O O O O
blademail isnt gonna save u buddy,D O O O P O
you get retards like venge,P O T O C
did,O
wp sk [SEPA] if u not die me on lane,S C SEPA O P O O P O S
Gg,S
noob team,T O
fuck your split :,T P O O
this ember is just,P C O O
commend me,O P
:D [SEPA] lol,O SEPA O
gf sending nudes,O O O
THIS HUSKAR,P C
ok,O
ggwp,S
g,O
rofl,S
Ez mid but lose :),S S O O O
faggots,T
really,O
how long dude,O O P
sniper,C
cumback not real,O O O
report nobody what the hack Oo,S P P O O O
EZ,S
he commin,P O
for noob play,O T O
BASURA DE INVOKER,O O C
lol,O
hahahaa,O
why me [SEPA] wtf,O P SEPA T
nami pang tudsun,O O O
lol [SEPA] rage,O SEPA D
reported,O
JAJAHJAHAHA,O
kill your friend,O P O
no alpha wolf :P,O O O O
tinker while ur point is right,C O P O O O
gg wp [SEPA] throne,S S SEPA S
dafuq,T
we lucky :3,P O O
rekt [SEPA] rekt [SEPA] naga get refresher and chapstick before [SEPA] chavstick,O SEPA O SEPA C O D O O O SEPA O
i mean,P O
yeah cool,O O
:),O
haha thanks,O O
no vision shoot,O O O
Xd,O
ggw p,O O
GGWP,S
4 MINUTES TO DEF [SEPA] OH I THOUGHT WE GONNA LOSE THIS GAME FOR FREE MMR,O O O O SEPA O P O P O O P O O O D
hey sk [SEPA] sure win,O C SEPA O O
gg,S
EZ [SEPA] WAHAHAHA,S SEPA O
just mid and end pls [SEPA] so we do not wasteour time,O S O O O SEPA O P O O O O
LOL,O
sorry,O
me jajajajajaja,P O
guys [SEPA] u are lost [SEPA] this game [SEPA] stay afk [SEPA] for sure,P SEPA P O O SEPA P O SEPA S S SEPA O O
k,O
g mid,O S
says the capt that did not said a word at pickin [SEPA] now he complains,O O O P O O O O O O O SEPA O P O
i think b for him is fight [SEPA] such retard,P O S O P O O SEPA P T
just tell me,O O P
comeback,O
FUCK EM ALL [SEPA] xd,T O P SEPA O
END PLSS,O O
gg,S
MY TEAM FULL OF LUNATICS,P O O O O
he didnt lose [SEPA] mid [SEPA] i lost mid [SEPA] s ohard,P O O SEPA S SEPA P O S SEPA O O
amen tobias [SEPA] f r helvete,O O SEPA O O O
GG,S
top,S
FARM [SEPA] UNTIL END,S SEPA O O
no fuck you,O T P
nah [SEPA] like i said hes cute right [SEPA] slark [SEPA] glad u luv him [SEPA] plz w8,O SEPA O P O O O O SEPA C SEPA O P O P SEPA O O
wow [SEPA] dat axe,O SEPA O C
16 de 3 [SEPA] :) [SEPA] off laner,O O O SEPA O SEPA S O
reported,O
Yeah my point exactly,O P O O
sorry big god,O O O
gg,S
:),O
ya fake summail [SEPA] lapsap,O O O SEPA O
ty,O
gg wp,S S
Gg wp,S S
NOW YOU ARE ALLLLLL DEAD,O P O P T
k unpause,O O
OMG,O
WOWO [SEPA] OMG [SEPA] RLY,O SEPA O SEPA O
DAMN THIS BREW IS GOOD [SEPA] EZ 25 UNPAUSING BITCHES,O P O O O SEPA S O O T
GGWP [SEPA] PRO PUDGE,S SEPA O C
Stop Fuckin Lyin [SEPA] always lyin to me,O T O SEPA O O O P
Live streaming the game right now : www twitch tv xarub Awesome people welcome,O O O O O O O O O O O O O O
YOU TAKE MID,P S S
haha,O
why you aim me Drow [SEPA],O P O P C SEPA
gay bitch,T T
stop whining,O O
Gg <3,S O
wow [SEPA] essence shift much,O SEPA O O O
gg wp,S S
looy pud,O T
wtf level 2 stun,T O O S
Coinz,O
headshot 4 dead,D O T
LOL,O
this is just so sad,P O O O O
weird teamfights,O O
i blinked before hit,P O O O
report slark,S C
sure,O
bye [SEPA] ok,O SEPA O
gg,S
feeder win,S O
give me a good song [SEPA] pls [SEPA] or a set of jams,O P O O O SEPA O SEPA O O O O O
come,O
gg,S
nice ember,O C
ok [SEPA] w8 pls,O SEPA O O
NERD,O
did you wait for AA,O P O O C
sure go go passion,O S S O
2 PINOY,O O
roshan gogogo,S O
o [SEPA] wrong,O SEPA O
stop saying ur moms name bro,O O P O O P
FUCK U [SEPA] RUNNER,T P SEPA O
absolutley fucking retarded fucks on my bullshit team [SEPA] fuck you [SEPA] timber [SEPA] shit cunt [SEPA] fuck you doom,O T T T O P T O SEPA T P SEPA O SEPA T T SEPA T P C
ahahahahahahahahha,O
pause,O
ez mid [SEPA] gg,S S SEPA S
had to carry noob troll xD [SEPA] From offalne xD,O O S T C O SEPA O O O
he will just unp,P O O O
would be the same anyway [SEPA] you lose,O O O O O SEPA P O
no [SEPA] he has no idea what it does,O SEPA P O O O P P O
HAHAHAHAHAHAHAHAH [SEPA] HAHAHAH [SEPA] just in time,O SEPA O SEPA O O O
yeah ez,O S
magic,O
ez gay naga,S T C
just report sf,O S C
Stfu cunt,T T
33 min tinker safe so good,O O C S O O
haaaaaaaaaaaaaaaaaaaa,O
dont make me mad pls,O O P O O
ez,S
lol,O
no [SEPA] you have am and alche,O SEPA P O C O C
ez,S
[SEPA] Rq,SEPA O
gg wp stupid team,S S T O
